Region Name,Region ID,Size Rank,Zip Code,Second Zip Code,Third Zip Code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,01/2021 - 07/2021
Ginter Park Terrace,273823,14708,23222,None,None,75199,80451,87494,89296,83618,83638,92130,101802,106434,122705,149972,162969,154218,130664,127842,119424,101842,113022,133599,145356,174977,218357,273972,257656,321228,210759
Maymont,274452,14753,23220,None,None,90829,96901,103866,113410,114429,113915,114719,122858,131008,133210,136912,150462,153782,148783,149468,138857,129990,145410,141943,145819,153644,170935,185623,195131,219709,142871
Cofer,273298,14766,23224,None,None,49975,54587,59040,59417,61552,62993,67837,72054,76842,84410,90636,104512,103978,92698,83204,70010,61023,54192,62628,59934,67005,75910,91679,104575,119858,77756
Stadium,275555,14804,23221,None,None,49258,54154,61082,62927,70059,72467,77534,93906,109286,130273,157431,172659,167518,158555,156314,141706,151696,161514,164225,166261,184628,207659,229116,260658,282859,185621
Oakwood,274865,15094,23223,None,None,135810,195064,210122,179520,164916,165589,178760,181784,194616,183515,178468,166199,165905,151359,133516,121242,97369,85225,71064,81669,90988,91290,103465,140490,176556,117012
Powhite Park,275085,15106,23225,None,None,0,0,0,0,0,0,0,0,0,0,0,0,270188,243650,239964,211657,231853,250181,241653,240694,247600,253719,264976,266131,267990,169760
Brookhaven Farms,273061,15200,23224,None,None,50135,57838,64237,74415,75260,78396,81355,89796,97362,105893,124830,133794,126090,118818,113388,98958,92637,102908,109877,117808,127616,129404,135892,143376,154744,101800
Cullenwood,273420,15313,23234,None,None,62384,64391,70864,72402,76193,85107,86808,97101,100009,110981,126161,140913,146692,139504,133200,117182,112340,114060,111529,108581,120370,130938,143706,149548,162890,105026
Newtowne West,274675,15862,23220,None,None,173224,117929,117730,122903,124964,116796,111052,105465,107958,112169,126416,146336,152025,149745,149609,143550,143582,153174,160985,169051,180105,191026,212838,243170,257884,168341
Cherry Gardens,273230,16395,23234,None,None,64680,66574,76075,80981,84078,87985,87686,98797,104824,115467,140749,161236,161969,155726,151008,129376,118186,117907,122686,114505,122670,134498,143696,152113,167941,106776
