Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
23435,27088.0,36.9,84531.0,35118.0,1269.0,4.684731246308329
23480,273.0,59.4,19250.0,20356.0,117.0,42.857142857142854
23661,13795.0,42.6,44349.0,24807.0,2453.0,17.781805001812252
23662,12095.0,43.5,81701.0,38373.0,673.0,5.5642827614716825
23664,9170.0,42.4,62901.0,34217.0,743.0,8.102508178844056
23665,5593.0,22.2,52313.0,18789.0,222.0,3.969247273377436
23691,188.0,13.3,61146.0,17203.0,0.0,0.0
23503,35632.0,29.4,46001.0,25706.0,4339.0,12.177256398742703
23507,8153.0,29.9,62755.0,41859.0,954.0,11.70121427695327
23508,20456.0,24.3,50789.0,24608.0,4227.0,20.663863903011343
23518,30581.0,36.5,53375.0,27977.0,4526.0,14.800039240051012
23603,3647.0,27.9,56722.0,27774.0,144.0,3.948450781464217
23604,7210.0,21.0,51782.0,16910.0,455.0,6.310679611650485
23605,13436.0,35.5,39953.0,21876.0,2256.0,16.7907115212861
23663,15279.0,33.5,41006.0,18553.0,3522.0,23.05124680934616
23701,23549.0,41.3,47245.0,23991.0,2780.0,11.805172194148371
23805,19793.0,42.0,47366.0,25032.0,2538.0,12.822715101298439
23828,416.0,32.1,62083.0,26016.0,49.0,11.778846153846153
23837,4661.0,40.5,47393.0,23174.0,865.0,18.558249302724736
23842,7090.0,43.9,73041.0,27055.0,445.0,6.276445698166431
23857,757.0,52.2,57689.0,20046.0,152.0,20.079260237780712
23881,1779.0,51.5,38295.0,24405.0,440.0,24.73299606520517
23924,7066.0,41.5,33773.0,16983.0,1664.0,23.549391452023777
23938,251.0,42.8,36250.0,27280.0,15.0,5.9760956175298805
23005,14798.0,41.6,54855.0,29893.0,948.0,6.40627111771861
23025,247.0,46.0,42708.0,22294.0,0.0,0.0
23027,1179.0,45.7,34625.0,23827.0,128.0,10.856658184902459
23039,1074.0,41.8,83750.0,41879.0,9.0,0.8379888268156425
23061,19903.0,44.3,64931.0,29761.0,1330.0,6.682409686981862
23075,10541.0,34.9,41703.0,21152.0,1685.0,15.985200645100086
23867,2651.0,38.1,41319.0,19207.0,255.0,9.619011693700491
23878,1132.0,41.9,56667.0,25177.0,99.0,8.745583038869258
23879,608.0,39.3,62188.0,21527.0,31.0,5.098684210526316
23885,2539.0,49.7,75625.0,31762.0,234.0,9.216226860968886
23887,303.0,67.2,29519.0,28391.0,29.0,9.570957095709572
23915,788.0,43.6,46957.0,16970.0,123.0,15.609137055837563
23942,1187.0,44.1,42019.0,22677.0,35.0,2.9486099410278013
23959,1235.0,38.7,39917.0,16981.0,272.0,22.024291497975707
23964,1215.0,40.5,54438.0,25988.0,331.0,27.242798353909464
23967,1296.0,41.1,39135.0,17574.0,95.0,7.330246913580247
23462,61287.0,31.9,56617.0,26703.0,6612.0,10.788584854863185
23464,72834.0,35.9,71192.0,29404.0,4850.0,6.658977949858582
23116,28115.0,40.6,102891.0,38876.0,883.0,3.1406722390183175
23123,1618.0,44.2,32027.0,23037.0,368.0,22.744128553770086
23141,5816.0,44.3,70257.0,33418.0,226.0,3.885832187070151
23169,1522.0,53.3,50085.0,25192.0,130.0,8.541392904073588
23176,599.0,49.2,56144.0,27470.0,0.0,0.0
23177,962.0,31.3,41638.0,15421.0,111.0,11.538461538461538
23185,46458.0,40.6,70196.0,36566.0,4610.0,9.922941151147272
23224,35885.0,30.8,33141.0,15740.0,11411.0,31.798801727741395
23227,25961.0,41.4,45823.0,28480.0,3670.0,14.136589499634066
23883,3077.0,39.2,56324.0,23429.0,203.0,6.597335066623335
23888,1941.0,45.3,40000.0,20256.0,292.0,15.04379185986605
23894,453.0,41.9,72143.0,29515.0,31.0,6.843267108167771
23898,2310.0,48.9,57969.0,26474.0,328.0,14.1991341991342
23308,2128.0,39.7,40489.0,15711.0,487.0,22.88533834586466
23323,34915.0,36.7,68427.0,27008.0,3295.0,9.43720463983961
23325,17676.0,38.7,54972.0,26886.0,1769.0,10.007920343969223
23350,3492.0,47.0,30167.0,24129.0,886.0,25.372279495990835
23410,2667.0,47.9,40707.0,18946.0,771.0,28.90888638920135
23415,1687.0,46.3,45176.0,21759.0,267.0,15.826911677534085
23427,218.0,57.8,30500.0,20467.0,40.0,18.34862385321101
23441,81.0,7.2,-666666666.0,,0.0,0.0
23452,60422.0,34.9,61522.0,30521.0,4931.0,8.160934758862666
23457,4548.0,44.8,85037.0,36508.0,203.0,4.463500439753738
23651,592.0,33.0,90625.0,38274.0,9.0,1.5202702702702702
23693,23732.0,39.9,100488.0,41315.0,699.0,2.945390190460138
23801,5351.0,20.0,59138.0,15992.0,305.0,5.699869183330219
23004,866.0,30.6,55098.0,22687.0,110.0,12.702078521939955
23440,483.0,55.7,40833.0,20990.0,103.0,21.32505175983437
23456,51261.0,38.4,92574.0,33649.0,2080.0,4.057665671758257
23459,1227.0,20.5,44750.0,15288.0,126.0,10.268948655256724
23601,24907.0,36.4,50068.0,26325.0,2849.0,11.438551411249849
23606,28648.0,30.5,57230.0,30407.0,3098.0,10.814018430605977
23690,3694.0,27.7,48400.0,25491.0,447.0,12.100703844071468
23704,18578.0,34.0,34072.0,19754.0,6178.0,33.25438690924749
23708,313.0,20.7,-666666666.0,21727.0,0.0,0.0
23844,747.0,43.0,23857.0,14656.0,355.0,47.52342704149933
23846,548.0,49.3,62824.0,25972.0,93.0,16.970802919708028
23927,4077.0,55.1,37067.0,26499.0,498.0,12.21486387049301
23934,812.0,47.2,42569.0,20442.0,15.0,1.8472906403940887
23936,9193.0,41.0,36803.0,14342.0,1225.0,13.325356249320135
23947,3700.0,44.0,36330.0,21326.0,698.0,18.864864864864863
23958,3375.0,42.5,39617.0,23360.0,873.0,25.866666666666667
23974,5174.0,44.1,36530.0,16011.0,880.0,17.008117510630072
23009,6337.0,37.8,65473.0,27022.0,266.0,4.197569827994319
23228,33844.0,35.1,44224.0,23998.0,5267.0,15.562581255170784
23229,32930.0,41.4,71638.0,44244.0,3148.0,9.559672031582144
23070,767.0,59.8,99250.0,47337.0,16.0,2.0860495436766624
23868,7739.0,34.4,35109.0,12144.0,1532.0,19.795839255717794
23901,16490.0,33.9,35825.0,18260.0,3267.0,19.81200727713766
23976,136.0,48.8,35536.0,22757.0,21.0,15.441176470588236
23921,1577.0,51.3,30580.0,21220.0,398.0,25.237793278376664
23876,505.0,36.8,68265.0,25663.0,65.0,12.871287128712872
23882,2071.0,38.7,47422.0,23240.0,83.0,4.007725736359247
23889,351.0,55.8,14875.0,22752.0,117.0,33.333333333333336
23930,6142.0,39.4,40938.0,19990.0,1063.0,17.307066102246825
23943,278.0,20.6,-666666666.0,6117.0,0.0,0.0
23944,4481.0,41.1,30752.0,16988.0,1066.0,23.789332738228072
23954,2183.0,41.1,45357.0,18736.0,294.0,13.467704993128722
23513,31436.0,31.5,40413.0,19654.0,5312.0,16.8978241506553
23607,23709.0,31.4,27897.0,15623.0,8222.0,34.67881395250749
23163,280.0,58.4,36574.0,38416.0,0.0,0.0
23226,15078.0,37.6,76599.0,60491.0,831.0,5.511341026661361
23236,26234.0,40.8,74141.0,33515.0,1686.0,6.426774414881452
23219,3284.0,25.4,19231.0,24403.0,1274.0,38.79415347137637
23223,48111.0,33.1,36855.0,21085.0,12983.0,26.985512668620483
23225,39470.0,37.8,43683.0,27214.0,6163.0,15.614390676463136
23314,6905.0,41.9,78891.0,36245.0,240.0,3.4757422157856626
23315,1466.0,49.4,55714.0,26428.0,71.0,4.843110504774898
